month,month_name,member_casual,ride_count
1,January,casual,24076
1,January,member,114506
2,February,casual,27709
2,February,member,124123
3,March,casual,85662
3,March,member,212226
4,April,casual,108971
4,April,member,262096
5,May,casual,182263
5,May,member,319750
6,June,casual,291138
6,June,member,386709
7,July,casual,322505
7,July,member,439965
8,August,casual,337246
8,August,member,452355
9,September,casual,264772
9,September,member,449202
10,October,casual,223569
10,October,member,421921
11,November,casual,98871
11,November,member,257292
12,December,casual,28029
12,December,member,112424
